match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,ARDWon,ARDLost,ARDWon%
b5659aa3,"Saturday June 26, 2021",18:00,Wales,h,Neco Williams,3.0,RB,20-074,51,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,
b5659aa3,"Saturday June 26, 2021",18:00,Wales,h,Danny Ward,12.0,GK,28-004,90,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
b5659aa3,"Saturday June 26, 2021",18:00,Wales,h,15 Players,,,,989,4,1,0,12,9,0,14,12,9,0,0,0,52,20,23,46.5
b5659aa3,"Saturday June 26, 2021",18:00,Wales,a,Kasper Dolberg,12.0,FW,23-263,69,0,0,0,2,2,0,0,0,0,0,0,0,4,1,3,25.0
b5659aa3,"Saturday June 26, 2021",18:00,Wales,a,Andreas Cornelius,21.0,FW,28-102,21,0,0,0,0,2,0,0,0,0,0,0,0,2,1,2,33.3
b5659aa3,"Saturday June 26, 2021",18:00,Wales,a,Mikkel Damsgaard,14.0,"LW,AM",20-358,59,0,0,0,1,1,1,2,3,0,0,0,0,2,1,1,50.0
b5659aa3,"Saturday June 26, 2021",18:00,Wales,a,Christian Nørgaard,15.0,"DM,LW",27-108,31,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,
b5659aa3,"Saturday June 26, 2021",18:00,Wales,a,Martin Braithwaite,9.0,"RW,AM",30-021,90,0,0,0,1,2,0,4,0,0,0,0,0,9,3,1,75.0
b5659aa3,"Saturday June 26, 2021",18:00,Wales,a,Thomas Delaney,8.0,"CM,DM",29-296,59,0,0,0,1,0,0,3,0,0,0,0,0,5,4,2,66.7
b5659aa3,"Saturday June 26, 2021",18:00,Wales,a,Mathias Jensen,24.0,"LW,CM",25-176,31,0,0,0,0,1,0,5,1,0,0,0,0,2,0,0,
b5659aa3,"Saturday June 26, 2021",18:00,Wales,a,Pierre Højbjerg,23.0,"CM,DM",25-325,90,0,0,0,0,1,0,2,1,0,0,0,0,11,0,1,0.0
b5659aa3,"Saturday June 26, 2021",18:00,Wales,a,Joakim Mæhle,5.0,"LB,WB",24-037,90,0,0,0,1,2,0,2,0,2,0,0,0,4,2,1,66.7
b5659aa3,"Saturday June 26, 2021",18:00,Wales,a,Jens Stryger Larsen,17.0,"RB,WB",30-125,76,0,0,0,0,0,0,4,4,0,0,0,0,8,0,2,0.0
b5659aa3,"Saturday June 26, 2021",18:00,Wales,a,Nicolai Boilesen,26.0,WB,29-130,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
