match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,Att,PTLive,PTDead,PTFK,PTTB,PTPress,PTSw,PTCrs,PTCK,CKIn,CKOut,CKStr,Ground,Low,High,BPLeft,BPRight,BPHead,BPTI,BPOther,OutcomeCmp,OutcomeOff,OutcomeOut,OutcomeInt,OutcomeBlocks
14874531,"Saturday June 19, 2021",21:00,Spain,a,Wojciech Szczęsny,1.0,GK,31-062,90,32,19,13,7,0,1,1,0,0,0,0,0,1,0,31,0,28,0,0,2,14,0,0,0,0
14874531,"Saturday June 19, 2021",21:00,Spain,a,15 Players,,,,990,244,199,45,18,0,67,8,6,1,0,0,1,111,38,95,41,162,11,18,3,146,2,7,10,15
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,Haris Seferović,9.0,FW,29-130,81,10,10,0,0,0,3,0,1,0,0,0,0,6,1,3,9,0,1,0,0,7,0,0,0,0
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,Mario Gavranović,19.0,FW,31-220,39,8,7,1,0,0,3,0,0,0,0,0,0,8,0,0,1,7,0,0,0,6,0,0,0,0
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,Steven Zuber,14.0,LW,29-319,89,25,24,1,0,0,7,1,2,0,0,0,0,17,4,4,6,17,1,1,0,17,0,0,2,1
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,Christian Fassnacht,16.0,"LW,RW",27-233,31,9,9,0,0,0,5,1,0,0,0,0,0,3,0,6,1,4,1,0,0,1,0,1,0,0
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,Breel Embolo,7.0,RW,24-138,22,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,Ruben Vargas,11.0,"RW,LW",22-331,98,22,22,0,0,0,4,0,0,0,0,0,0,15,2,5,3,17,2,0,0,15,0,0,1,1
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,Xherdan Shaqiri,23.0,AM,29-265,80,39,30,9,1,0,11,6,1,6,4,2,0,19,5,15,30,8,0,0,0,25,1,2,2,1
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,Djibril Sow,15.0,AM,24-146,40,8,7,1,1,0,1,0,0,0,0,0,0,7,0,1,0,8,0,0,0,3,0,0,1,1
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,Remo Freuler,8.0,CM,29-078,76,26,23,3,3,0,11,2,0,0,0,0,0,17,2,7,4,19,2,0,0,21,0,1,0,1
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,Denis Zakaria,6.0,CM,24-224,100,18,17,1,1,0,1,0,0,0,0,0,0,14,2,2,2,15,1,0,0,15,0,0,0,0
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,Fabian Schär,22.0,CM,29-194,20,6,6,0,0,0,2,0,0,0,0,0,0,3,0,3,2,2,2,0,0,2,0,0,1,2
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,Ricardo Rodríguez,13.0,LB,28-311,120,45,35,10,1,0,5,5,2,3,0,2,0,16,8,21,22,11,5,6,0,32,1,0,0,1
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,Manuel Akanji,5.0,CB,25-348,120,40,38,2,2,0,5,1,0,0,0,0,0,34,0,6,16,24,0,0,0,36,0,0,0,1
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,Nico Elvedi,4.0,CB,24-275,120,35,35,0,0,0,5,1,0,0,0,0,0,27,1,7,6,27,2,0,0,26,1,1,2,1
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,Silvan Widmer,3.0,RB,28-119,100,44,40,4,0,0,8,0,0,0,0,0,0,26,5,13,5,30,3,4,1,32,0,3,1,2
18c4e831,"Friday July 2, 2021",19:00,Switzerland,h,Kevin Mbabu,2.0,RB,26-074,20,5,3,2,0,0,2,0,0,0,0,0,0,1,2,2,0,3,0,2,0,1,0,0,0,3
